招式学习器,,招式,属性,威力,命中,ＰＰ
,招式学习器０１,百万吨重拳,一般,80,85,20
,招式学习器０５,百万吨重踢,一般,120,75,5
,招式学习器０６,剧毒,毒,—,90,10
,招式学习器０８,泰山压顶,一般,85,100,15
,招式学习器０９,猛撞,一般,90,85,20
,招式学习器１０,舍身冲撞,一般,100,100,15
,招式学习器１１,泡沫光线,水,65,100,20
,招式学习器１２,水枪,水,40,100,25
,招式学习器１３,冰冻光束,冰,95,100,10
,招式学习器１４,暴风雪,冰,120,90,5
,招式学习器１５,破坏光线,一般,150,90,5
,招式学习器１６,聚宝功,一般,40,100,20
,招式学习器１７,地狱翻滚,格斗,80,80,25
,招式学习器１８,双倍奉还,格斗,变化,100,20
,招式学习器１９,地球上投,格斗,变化,100,20
,招式学习器２０,愤怒,一般,20,100,20
,招式学习器２２,日光束,草,120,100,10
,招式学习器２４,十万伏特,电,95,100,15
,招式学习器２５,打雷,电,120,70,10
,招式学习器２６,地震,地面,100,100,10
,招式学习器２７,地裂,地面,变化,30,5
,招式学习器２９,精神强念,超能力,90,100,10
,招式学习器３１,模仿,一般,—,—,10
,招式学习器３２,影子分身,一般,—,—,15
,招式学习器３３,反射壁,超能力,—,—,20
,招式学习器３４,忍耐,一般,变化,—,10
,招式学习器３５,挥指,一般,—,—,10
,招式学习器３６,自爆,一般,130,100,5
,招式学习器３８,大字爆炎,火,120,85,5
,招式学习器４０,火箭头锤,一般,100,100,15
,招式学习器４４,睡觉,超能力,—,—,10
,招式学习器４６,精神波,超能力,变化,80,15
,招式学习器４８,岩崩,岩石,75,90,10
,招式学习器５０,替身,一般,—,—,10
,秘传学习器０３,冲浪,水,95,100,15
,秘传学习器０４,怪力,一般,80,100,15
,,,,,,
