招式学习器,,招式,属性,威力,命中,ＰＰ
,招式学习器０１,百万吨重拳,一般,80,85,20
,招式学习器０３,剑舞,一般,—,—,30
,招式学习器０５,百万吨重踢,一般,120,75,5
,招式学习器０６,剧毒,毒,—,85,10
,招式学习器０８,泰山压顶,一般,85,100,15
,招式学习器０９,猛撞,一般,90,85,20
,招式学习器１０,舍身冲撞,一般,100,100,15
,招式学习器１５,破坏光线,一般,150,90,5
,招式学习器１７,地狱翻滚,格斗,80,80,25
,招式学习器１８,双倍奉还,格斗,变化,100,20
,招式学习器１９,地球上投,格斗,变化,100,20
,招式学习器２０,愤怒,一般,20,100,20
,招式学习器２３,龙之怒,龙,变化,100,10
,招式学习器２６,地震,地面,100,100,10
,招式学习器２７,地裂,地面,变化,—,5
,招式学习器２８,挖洞,地面,100,100,10
,招式学习器３１,模仿,一般,—,—,10
,招式学习器３２,影子分身,一般,—,—,15
,招式学习器３３,反射壁,超能力,—,—,20
,招式学习器３４,忍耐,一般,变化,—,10
,招式学习器３８,大字爆炎,火,120,85,5
,招式学习器３９,高速星星,一般,60,—,20
,招式学习器４０,火箭头锤,一般,100,100,15
,招式学习器４４,睡觉,超能力,—,—,10
,招式学习器５０,替身,一般,—,—,10
,秘传学习器０１,居合斩,一般,50,95,30
,秘传学习器０２Y,飞翔,飞行,70,95,15
,秘传学习器０４,怪力,一般,80,100,15
,,,,,,
