招式学习器,,招式,属性,威力,命中,ＰＰ
,招式学习器０１,百万吨重拳,一般,80,85,20
,招式学习器０５,百万吨重踢,一般,120,75,5
,招式学习器０６,剧毒,毒,—,90,10
,招式学习器０８,泰山压顶,一般,85,100,15
,招式学习器０９,猛撞,一般,90,85,20
,招式学习器１０,舍身冲撞,一般,100,100,15
,招式学习器１６,聚宝功,一般,40,100,20
,招式学习器１７,地狱翻滚,格斗,80,80,25
,招式学习器１９,地球上投,格斗,变化,100,20
,招式学习器２０,愤怒,一般,20,100,20
,招式学习器２４,十万伏特,电,95,100,15
,招式学习器２５,打雷,电,120,70,10
,招式学习器３２,影子分身,一般,—,—,15
,招式学习器３３,反射壁,超能力,—,—,20
,招式学习器３４,忍耐,一般,变化,—,10
,招式学习器３９,高速星星,一般,60,—,20
,招式学习器４０,火箭头锤,一般,100,100,15
,招式学习器４４,睡觉,超能力,—,—,10
,招式学习器４５,电磁波,电,—,100,20
,秘传学习器０５,闪光,一般,—,70,20
,,,,,,
